,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
30,Otis Birdsong,SG,23,KCK,82,2839,18.4,.544,,.280,6.6,7.0,6.8,14.4,2.0,0.3,10.9,24.9,,5.9,2.9,8.8,.148,,2.4,-0.2,2.2,3.0
31,Ron Boone,SG,32,LAL,82,1583,9.3,.495,,.183,3.9,6.0,5.0,12.1,1.9,0.4,19.3,19.3,,-0.8,1.2,0.4,.012,,-3.2,-1.0,-4.2,-0.9
32,Tom Boswell,PF,25,DEN,79,2201,14.6,.577,,.471,11.9,13.6,12.8,14.7,1.0,1.2,20.3,16.0,,3.4,2.2,5.6,.122,,0.8,0.1,0.9,1.6
33,Dennis Boyd,PG,24,DET,5,40,-4.0,.250,,.000,0.0,5.4,2.6,20.3,0.0,0.0,33.3,17.1,,-0.2,0.0,-0.2,-0.230,,-5.3,-1.1,-6.4,-0.1
34,Winford Boynes,SG,21,NJN,69,1176,11.7,.482,,.284,5.2,8.9,6.9,9.7,1.6,0.3,15.1,25.1,,-0.5,1.1,0.6,.026,,-2.2,-1.5,-3.7,-0.5
35,Alonzo Bradley,SF,25,HOU,34,245,9.3,.468,,.375,5.9,14.4,10.2,8.8,0.9,0.2,14.2,19.2,,0.0,0.1,0.1,.024,,-3.0,-1.2,-4.2,-0.1
36,Mike Bratz,PG,23,PHO,77,1297,12.6,.513,,.319,4.8,7.3,6.0,17.6,2.2,0.3,18.2,22.0,,0.5,1.3,1.7,.064,,-1.8,-0.6,-2.4,-0.1
37,Jim Brewer,PF,27,TOT,80,1611,9.9,.444,,.197,10.1,22.5,16.0,6.6,1.8,2.2,21.9,10.9,,-0.5,1.8,1.3,.038,,-2.1,0.6,-1.5,0.2
38,Jim Brewer,PF,27,CLE,55,1301,10.1,.448,,.185,9.9,21.9,15.6,7.0,1.7,2.4,21.8,10.9,,-0.3,1.3,1.0,.038,,-1.9,0.6,-1.2,0.3
39,Jim Brewer,PF,27,DET,25,310,9.2,.428,,.250,11.0,24.6,17.6,4.9,1.9,1.7,22.2,10.5,,-0.2,0.4,0.3,.040,,-2.8,0.4,-2.4,0.0
40,Ron Brewer,SG,23,POR,81,2454,14.2,.544,,.292,3.9,6.5,5.2,9.4,1.9,1.8,13.4,18.4,,3.3,2.3,5.6,.109,,0.5,0.2,0.7,1.7
41,Junior Bridgeman,SG,25,MIL,82,1963,18.8,.544,,.214,6.4,10.4,8.4,11.7,2.0,1.1,10.6,25.8,,3.7,1.8,5.5,.134,,1.9,-0.6,1.3,1.6
42,Allan Bristow,SF,27,SAS,74,1324,14.2,.562,,.421,6.6,12.8,9.8,20.3,1.8,0.6,20.5,15.1,,2.0,1.5,3.5,.126,,0.5,0.7,1.2,1.1
43,Fred Brown,PG,30,SEA,77,1961,16.9,.516,,.217,2.0,7.2,4.6,20.1,2.8,0.6,13.6,24.1,,2.3,2.9,5.2,.127,,0.3,1.3,1.7,1.8
44,John Brown,SF,27,CHI,77,1265,9.4,.539,,.309,7.2,13.3,10.3,10.8,0.7,0.4,19.8,14.2,,0.9,0.8,1.7,.064,,-2.3,-0.4,-2.7,-0.2
45,Joe Bryant,PF,24,PHI,70,1064,13.1,.482,,.356,9.8,15.3,12.7,13.6,2.1,0.4,17.1,24.4,,-0.1,1.6,1.5,.067,,-2.4,-0.2,-2.6,-0.2
46,Quinn Buckner,PG,24,MIL,81,1757,13.6,.478,,.226,3.6,9.6,6.6,31.7,4.0,0.5,25.5,18.0,,-0.4,2.4,2.0,.055,,-1.6,1.5,-0.1,0.9
47,Greg Bunch,SF,22,NYK,12,97,9.2,.448,,.462,9.9,8.9,9.4,4.9,1.4,1.6,13.8,14.7,,0.0,0.1,0.1,.046,,-2.9,-0.4,-3.3,0.0
48,Tom Burleson,C,26,KCK,56,927,15.3,.522,,.494,9.6,23.7,16.5,6.9,1.3,3.5,13.3,19.9,,1.1,1.6,2.7,.140,,-1.4,1.0,-0.4,0.4
49,Don Buse,PG,28,PHO,82,2544,11.5,.519,,.158,2.0,7.4,4.7,16.3,2.7,0.4,13.5,10.8,,2.6,2.8,5.4,.101,,-0.9,1.7,0.8,1.8
50,Marty Byrnes,SF,22,TOT,79,1264,9.9,.525,,.396,7.7,8.1,7.9,10.4,0.9,0.4,20.7,17.5,,0.2,0.7,0.9,.034,,-1.7,-1.7,-3.5,-0.5
