,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
38,John Brown,PF,24,ATL,75,1758,12.6,.512,,.430,8.3,15.5,11.8,10.1,1.2,0.5,,,,1.7,1.0,2.6,.072,,-1.1,-0.8,-1.9,0.0
39,Roger Brown,C,25,DET,29,454,8.0,.450,,.250,10.5,19.2,14.8,3.2,0.6,2.9,,,,0.0,0.4,0.4,.038,,-3.2,0.1,-3.1,-0.1
40,Joe Bryant,PF,21,PHI,75,1203,13.3,.452,,.266,7.8,14.5,11.2,7.5,1.6,1.0,,,,0.0,1.3,1.3,.052,,-1.9,-0.8,-2.7,-0.2
41,Tom Burleson,C,23,SEA,82,2647,17.8,.533,,.376,9.8,19.4,14.5,9.6,1.2,3.0,,,,5.0,3.2,8.2,.148,,1.4,0.2,1.6,2.4
42,Corky Calhoun,SF,25,LAL,76,1816,9.0,.506,,.226,6.4,11.4,9.0,5.8,1.5,1.0,,,,1.0,1.5,2.5,.066,,-1.9,0.3,-1.6,0.2
43,Al Carlson,C,24,SEA,28,279,9.0,.392,,.367,10.8,16.3,13.5,5.8,1.1,2.1,,,,-0.2,0.3,0.1,.012,,-3.4,-0.6,-4.0,-0.2
44,Austin Carr,SG,27,CLE,65,1282,15.2,.481,,.214,5.2,5.4,5.3,14.3,1.4,0.1,,,,1.7,0.9,2.6,.097,,0.9,-1.1,-0.2,0.6
45,Fred Carter,PG,30,PHI,82,2992,14.5,.447,,.196,3.7,6.0,4.8,19.1,2.0,0.2,,,,1.1,2.2,3.3,.053,,-0.7,-0.9,-1.6,0.3
46,Harvey Catchings,C,24,PHI,75,1731,9.6,.464,,.397,10.7,18.3,14.5,4.5,0.5,4.9,,,,0.0,2.3,2.3,.065,,-2.6,1.7,-0.9,0.5
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ken Charles,SG,24,BUF,81,2247,11.9,.505,,.285,2.8,7.2,5.1,12.3,2.4,1.1,,,,1.0,2.2,3.3,.070,,-1.7,0.9,-0.8,0.7
49,Phil Chenier,SG,25,WSB,80,2952,17.6,.528,,.252,3.1,8.0,5.6,13.6,2.5,0.8,,,,4.9,3.9,8.8,.143,,1.3,1.0,2.3,3.2
50,Jim Chones,C,26,CLE,82,2741,15.5,.473,,.207,7.1,21.0,13.9,8.8,0.7,1.9,,,,2.3,3.6,6.0,.105,,0.3,-0.3,0.1,1.4
51,Archie Clark,SG,34,DET,79,1589,12.5,.478,,.201,1.7,7.3,4.5,18.7,1.8,0.1,,,,1.0,0.7,1.7,.051,,-1.4,-0.8,-2.2,-0.1
52,Jim Cleamons,PG,26,CLE,82,2835,14.9,.509,,.246,4.3,8.6,6.4,20.5,2.1,0.4,,,,4.2,2.9,7.1,.120,,0.5,0.7,1.3,2.4
53,Barry Clemens,SF,32,POR,49,443,13.8,.540,,.245,6.4,9.7,8.1,10.5,2.7,0.8,,,,0.6,0.5,1.1,.116,,-0.6,1.2,0.6,0.3
54,E.C. Coleman,PF,25,NOJ,67,1850,9.7,.474,,.186,6.6,16.0,11.3,6.5,1.4,0.9,,,,0.4,2.1,2.5,.065,,-2.1,0.4,-1.7,0.1
55,Doug Collins,SG,24,PHI,77,2995,16.7,.575,,.372,4.1,5.8,5.0,9.6,1.6,0.4,,,,8.2,1.9,10.0,.161,,1.7,-0.3,1.5,2.6
56,Mel Counts,C,34,NOJ,30,319,12.2,.449,,.231,8.3,23.0,15.6,16.4,2.3,1.3,,,,-0.1,0.6,0.4,.062,,-3.6,1.9,-1.7,0.0
57,Dave Cowens*,C,27,BOS,78,3101,18.9,.508,,.261,10.6,29.0,19.8,15.1,1.4,1.2,,,,5.0,5.6,10.7,.165,,2.2,1.3,3.4,4.3
58,Jim Creighton,SF,25,ATL,32,172,5.5,.310,,.372,7.6,19.8,13.5,3.0,0.5,2.8,,,,-0.4,0.1,-0.2,-0.063,,-4.9,-0.8,-5.7,-0.2
59,Billy Cunningham*,SF,32,PHI,20,640,16.4,.473,,.351,4.4,17.8,11.1,23.5,1.7,0.8,,,,0.4,0.8,1.2,.093,,0.7,0.5,1.2,0.5
60,Mike D'Antoni,SG,24,KCK,9,101,7.7,.287,,.074,4.0,10.2,7.1,20.4,4.5,0.0,,,,-0.2,0.1,-0.1,-0.047,,-4.9,1.2,-3.7,-0.1
61,Bob Dandridge,SF,28,MIL,73,2735,19.1,.545,,.254,6.7,13.7,10.3,11.9,1.9,0.7,,,,6.4,2.6,9.0,.158,,2.6,-0.2,2.4,3.0
62,Dwight Davis,PF,26,GSW,72,866,11.5,.471,,.420,9.7,15.2,12.4,6.6,1.0,1.7,,,,0.3,1.2,1.5,.084,,-2.7,-0.1,-2.8,-0.2
63,Mel Davis,PF,25,NYK,42,408,14.8,.423,,.150,10.7,26.9,18.7,11.1,1.8,0.7,,,,-0.2,0.6,0.4,.045,,-1.4,-0.3,-1.7,0.0
64,Mickey Davis,SF,25,MIL,45,411,12.7,.445,,.414,6.5,14.5,10.6,12.2,1.5,0.3,,,,0.0,0.3,0.3,.036,,-1.6,-1.0,-2.6,-0.1
65,Darryl Dawkins,C,19,PHI,37,165,14.3,.486,,.293,8.8,19.9,14.3,2.9,0.5,2.8,,,,-0.1,0.2,0.1,.041,,-4.1,-0.6,-4.7,-0.1
66,Rod Derline,SG,23,SEA,49,339,13.7,.464,,.309,2.4,5.9,4.1,11.3,1.4,0.2,,,,0.2,0.2,0.3,.049,,-1.2,-1.8,-2.9,-0.1
67,Henry Dickerson,SG,24,DET,17,112,4.6,.388,,.552,2.7,0.0,1.4,8.8,0.8,0.5,,,,-0.2,0.0,-0.2,-0.070,,-4.7,-1.1,-5.8,-0.2
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Derrek Dickey,PF,24,GSW,79,1207,13.9,.494,,.167,9.2,18.4,13.9,9.2,1.0,0.5,,,,1.4,1.7,3.1,.122,,-0.3,-0.6,-0.9,0.3
70,Ernie DiGregorio,PG,25,BUF,67,1364,10.7,.437,,.198,1.2,7.2,4.3,25.9,1.2,0.0,,,,-0.7,0.8,0.1,.002,,-3.1,-1.7,-4.8,-1.0
71,John Drew,SF,21,ATL,77,2351,25.3,.570,,.562,12.2,16.9,14.5,10.9,2.7,0.7,,,,8.2,2.4,10.6,.216,,5.2,-0.3,4.9,4.1
72,Charles Dudley,PG,25,GSW,82,1456,16.1,.575,,.710,7.5,10.2,8.9,20.4,2.3,0.1,,,,2.6,2.0,4.6,.151,,0.7,1.1,1.8,1.4
73,Dennis DuVal,PG,23,ATL,13,130,9.1,.383,,.209,0.8,5.7,3.2,21.4,2.1,0.8,,,,-0.2,0.1,-0.1,-0.039,,-3.7,-0.3,-4.0,-0.1
74,Al Eberhard,SF,23,DET,81,2066,11.7,.483,,.335,6.8,12.8,9.8,5.3,1.9,0.4,,,,1.1,1.5,2.6,.060,,-1.6,-0.7,-2.3,-0.2
75,Leroy Ellis,C,35,PHI,29,489,10.9,.482,,.212,9.3,14.8,12.1,5.7,1.5,0.9,,,,0.3,0.5,0.9,.085,,-1.3,0.0,-1.3,0.1
76,Keith Erickson,SF,31,PHO,74,1850,14.1,.518,,.242,6.3,13.1,9.7,14.4,1.9,0.2,,,,2.0,1.8,3.8,.098,,-0.3,-0.2,-0.6,0.7
77,Eric Fernsten,C,22,TOT,37,268,14.3,.450,,.430,8.8,18.2,13.2,10.8,1.3,3.0,,,,0.1,0.4,0.5,.089,,-0.8,0.8,-0.1,0.2
78,Eric Fernsten,C,22,CLE,4,9,-6.5,.000,,.000,0.0,11.8,5.7,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.176,,-4.9,-0.2,-5.1,0.0
79,Eric Fernsten,C,22,CHI,33,259,15.0,.459,,.440,9.1,18.4,13.4,11.2,1.3,3.1,,,,0.2,0.4,0.5,.098,,-0.7,0.8,0.1,0.2
80,Larry Fogle,SG,22,NYK,2,14,-0.5,.200,,.000,7.2,14.9,11.0,0.0,3.3,0.0,,,,-0.1,0.0,0.0,-0.163,,-5.1,0.0,-5.1,0.0
81,Chris Ford,SG,27,DET,82,2198,13.0,.452,,.163,3.7,10.1,6.8,16.4,3.7,0.6,,,,0.3,2.4,2.7,.058,,-1.5,2.0,0.5,1.4
82,Don Ford,SF,23,LAL,76,1838,11.6,.471,,.196,6.4,10.8,8.7,8.3,1.2,0.4,,,,0.7,1.2,2.0,.051,,-1.5,-1.3,-2.8,-0.4
83,Jim Fox,C,32,MIL,70,918,12.4,.572,,.389,9.6,16.9,13.3,6.0,1.4,0.9,,,,1.3,0.9,2.2,.116,,-1.0,0.1,-0.9,0.2
84,Walt Frazier*,PG,30,NYK,59,2427,17.7,.527,,.233,3.3,13.8,8.5,21.4,2.0,0.2,,,,4.4,2.4,6.8,.134,,1.9,0.6,2.5,2.8
85,World B. Free,SG,22,PHI,71,1121,14.8,.480,,.349,5.5,5.2,5.4,14.1,1.5,0.3,,,,0.9,0.6,1.5,.064,,0.0,-1.4,-1.4,0.2
86,Donnie Freeman,SG,31,LAL,64,1480,14.5,.497,,.328,4.8,6.8,5.8,16.0,1.7,0.4,,,,1.5,0.9,2.4,.078,,-0.6,-0.9,-1.5,0.2
87,Rowland Garrett,SF,25,TOT,55,540,14.9,.469,,.252,8.0,14.3,11.0,5.0,2.2,0.7,,,,0.4,0.7,1.1,.096,,-1.2,-0.2,-1.3,0.1
88,Rowland Garrett,SF,25,CHI,14,324,14.8,.505,,.336,7.9,16.0,11.7,3.5,1.2,0.7,,,,0.5,0.3,0.8,.125,,-0.1,-0.7,-0.7,0.1
89,Rowland Garrett,SF,25,CLE,41,216,15.0,.429,,.165,8.3,11.8,10.0,7.2,3.7,0.8,,,,-0.1,0.4,0.2,.054,,-2.8,0.6,-2.2,0.0
90,John Gianelli,C,25,NYK,82,2332,12.3,.504,,.233,8.1,16.4,12.2,6.8,0.5,1.4,,,,2.5,1.9,4.4,.091,,0.2,-0.4,-0.2,1.1
91,Dick Gibbs,SF,27,BUF,72,866,9.8,.490,,.309,5.2,7.5,6.4,7.7,0.8,0.8,,,,0.2,0.5,0.7,.039,,-2.9,-1.4,-4.3,-0.5
92,Herm Gilliam,SG,29,SEA,81,1644,13.8,.473,,.172,3.4,10.6,6.9,17.2,2.2,0.4,,,,1.2,1.4,2.7,.078,,-0.4,0.1,-0.3,0.7
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gail Goodrich*,SG,32,LAL,75,2646,17.1,.495,,.262,3.5,4.2,3.9,23.4,2.1,0.3,,,,3.5,1.5,5.1,.092,,0.8,-1.2,-0.4,1.1
95,Leonard Gray,PF,24,SEA,66,2139,13.9,.505,,.203,5.1,14.3,9.6,13.3,1.6,0.9,,,,2.2,2.0,4.1,.092,,-0.1,-0.1,-0.3,0.9
96,Kevin Grevey,SF,22,WSB,56,504,10.0,.440,,.272,5.1,7.2,6.2,7.6,1.2,0.3,,,,-0.3,0.5,0.1,.011,,-3.8,-1.3,-5.1,-0.4
97,Bob Gross,SF,22,POR,76,1474,15.6,.557,,.355,9.8,11.4,10.6,15.3,2.8,1.5,,,,1.8,1.9,3.8,.123,,0.9,1.6,2.5,1.7
98,Matt Guokas,SG,31,TOT,56,793,6.9,.444,,.156,2.8,5.4,4.0,12.2,1.0,0.2,,,,0.1,0.3,0.3,.021,,-3.2,-0.4,-3.6,-0.3
99,Matt Guokas,SG,31,CHI,18,278,9.8,.514,,.149,1.4,4.7,2.9,15.4,0.9,0.2,,,,0.3,0.1,0.5,.079,,-2.0,-0.2,-2.2,0.0
100,Matt Guokas,SG,31,KCK,38,515,5.4,.391,,.162,3.5,5.8,4.7,10.5,1.1,0.2,,,,-0.3,0.1,-0.1,-0.010,,-3.9,-0.5,-4.4,-0.3
101,Lindsay Hairston,SF,24,DET,47,651,14.8,.492,,.491,10.1,18.4,14.2,4.4,1.5,2.6,,,,0.3,0.7,1.0,.075,,-1.1,-0.6,-1.7,0.1
102,Glenn Hansen,SG,23,KCK,66,1145,11.2,.457,,.279,6.8,9.9,8.3,8.4,1.9,0.6,,,,0.0,0.8,0.8,.032,,-2.3,-0.8,-3.1,-0.3
103,Clem Haskins,SG,32,WSB,55,737,15.5,.588,,.242,1.7,5.7,3.8,15.1,1.4,0.6,,,,1.6,0.7,2.3,.148,,0.5,0.3,0.8,0.5
104,John Havlicek*,SF,35,BOS,76,2598,15.5,.508,,.297,4.4,7.5,5.9,15.3,1.7,0.6,,,,4.7,2.7,7.4,.137,,1.1,0.5,1.6,2.3
105,Steve Hawes,C,25,TOT,72,1411,15.1,.532,,.298,12.7,23.1,18.0,11.2,1.4,0.9,,,,1.6,1.9,3.4,.117,,0.1,0.0,0.1,0.8
106,Steve Hawes,C,25,HOU,6,51,11.4,.385,,.000,11.0,26.8,19.1,24.5,0.0,0.0,,,,0.0,0.0,0.0,.005,,-3.0,0.1,-2.9,0.0
107,Steve Hawes,C,25,POR,66,1360,15.2,.536,,.308,12.8,22.9,18.0,10.7,1.4,1.0,,,,1.6,1.8,3.4,.121,,0.2,0.0,0.2,0.8
108,Bubbles Hawkins,SG,21,GSW,32,153,25.0,.536,,.298,10.2,8.6,9.4,17.9,2.9,2.7,,,,0.4,0.3,0.6,.196,,0.9,1.1,2.0,0.3
109,Connie Hawkins*,PF,33,ATL,74,1907,14.3,.497,,.360,5.4,19.1,12.0,15.7,1.9,1.3,,,,1.7,1.8,3.5,.087,,0.4,0.9,1.3,1.6
110,Nate Hawthorne,SG,26,PHO,79,1144,11.7,.481,,.402,8.3,11.6,9.9,5.7,1.3,0.7,,,,0.2,0.9,1.1,.046,,-2.4,-1.6,-4.0,-0.6
111,Elvin Hayes*,PF,30,WSB,80,2975,18.4,.501,,.331,7.6,22.6,15.3,6.4,1.6,3.5,,,,2.2,5.9,8.1,.131,,0.4,1.0,1.3,2.5
112,Spencer Haywood*,PF,26,NYK,78,2892,17.2,.497,,.329,8.2,23.3,15.6,4.8,0.8,1.5,,,,3.5,3.4,6.8,.114,,0.9,-1.1,-0.2,1.3
113,Gar Heard,PF,27,TOT,86,2747,13.7,.466,,.275,9.8,23.5,16.8,9.4,1.9,1.8,,,,0.3,4.2,4.5,.079,,-1.0,0.4,-0.6,1.0
114,Gar Heard,PF,27,BUF,50,1527,13.4,.450,,.274,9.8,24.7,17.5,11.0,1.9,1.8,,,,-0.3,2.5,2.2,.069,,-1.3,0.8,-0.5,0.6
115,Gar Heard,PF,27,PHO,36,1220,14.1,.486,,.276,9.8,21.9,15.9,7.4,1.9,1.8,,,,0.6,1.7,2.3,.092,,-0.6,-0.1,-0.7,0.4
116,Tom Henderson,PG,24,ATL,81,2900,13.2,.454,,.268,2.0,7.6,4.7,19.2,2.2,0.2,,,,0.8,1.3,2.1,.035,,-1.2,-0.8,-1.9,0.0
117,Wilbur Holland,SG,24,ATL,33,351,13.2,.421,,.160,4.3,7.9,6.0,12.5,2.6,0.3,,,,-0.3,0.2,-0.1,-0.018,,-3.1,-1.2,-4.3,-0.2
118,Lionel Hollins,PG,22,POR,74,1891,14.3,.472,,.335,2.2,7.2,4.7,23.1,3.1,0.8,,,,-0.4,2.2,1.8,.047,,-2.0,0.8,-1.2,0.4
119,Lou Hudson,SG,31,ATL,81,2558,16.8,.516,,.241,4.1,8.1,6.0,13.7,2.2,0.4,,,,4.6,1.3,5.9,.111,,1.1,-0.4,0.7,1.7
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,John Hummer,PF,27,SEA,29,364,7.6,.476,,.612,5.8,16.3,10.9,8.5,0.7,1.3,,,,-0.2,0.3,0.1,.019,,-4.2,0.2,-4.1,-0.2
122,Phil Jackson*,PF,30,NYK,80,1461,11.8,.530,,.388,5.5,18.8,12.1,9.7,1.3,0.7,,,,0.9,1.6,2.5,.082,,-2.5,0.8,-1.7,0.1
123,Aaron James,SF,23,NOJ,75,1346,13.7,.495,,.343,6.8,11.6,9.2,6.8,1.1,0.2,,,,1.0,1.2,2.2,.079,,-1.1,-1.5,-2.6,-0.2
124,Charles Johnson,PG,26,GSW,81,1549,14.2,.485,,.108,4.8,7.6,6.2,11.1,2.9,0.2,,,,1.6,2.1,3.7,.116,,-0.8,0.9,0.1,0.8
125,George Johnson,C,27,GSW,82,1745,13.2,.517,,.305,11.1,23.1,17.2,5.6,1.3,5.1,,,,1.3,3.8,5.0,.138,,-1.4,2.6,1.2,1.4
126,John Johnson,SF,28,TOT,76,1697,15.2,.491,,.222,6.1,14.6,10.5,18.0,1.5,1.1,,,,1.3,1.1,2.5,.070,,0.3,-0.4,-0.1,0.8
127,John Johnson,SF,28,POR,9,212,15.9,.526,,.307,6.4,12.7,9.6,14.0,1.5,2.0,,,,0.2,0.2,0.4,.101,,-0.6,0.2,-0.4,0.1
128,John Johnson,SF,28,HOU,67,1485,15.1,.486,,.210,6.1,14.9,10.7,18.6,1.5,1.0,,,,1.1,0.9,2.0,.066,,0.4,-0.5,-0.1,0.7
129,Mickey Johnson,PF,23,CHI,81,2390,19.4,.520,,.348,11.0,21.7,16.0,9.3,1.9,1.6,,,,4.8,3.6,8.3,.167,,1.9,0.4,2.3,2.6
130,Ollie Johnson,SF,26,KCK,81,2150,13.5,.552,,.220,5.5,11.6,8.5,9.9,1.4,1.0,,,,3.4,1.4,4.8,.107,,0.3,-0.2,0.1,1.1
131,Dwight Jones,C,23,ATL,66,1762,15.0,.521,,.404,9.7,21.3,15.3,6.8,1.4,1.9,,,,2.2,1.7,3.8,.104,,-0.3,-0.4,-0.7,0.6
132,Jimmy Jones,PG,31,WSB,64,1133,11.9,.541,,.305,3.0,8.8,6.0,14.6,1.3,0.2,,,,1.1,1.1,2.2,.095,,-1.6,0.3,-1.3,0.2
133,Steve Jones,SG,33,POR,64,819,12.1,.491,,.247,1.7,7.5,4.7,11.6,0.9,0.4,,,,0.3,0.5,0.8,.047,,-2.2,-1.6,-3.8,-0.4
134,Wali Jones,PG,33,TOT,17,176,11.1,.503,,.265,0.0,4.9,2.5,25.1,1.5,0.0,,,,0.1,0.1,0.2,.050,,-3.3,-0.6,-3.8,-0.1
135,Wali Jones,PG,33,DET,1,19,9.9,.364,,.000,0.0,0.0,0.0,15.5,4.8,0.0,,,,0.0,0.0,0.0,-0.030,,-4.2,0.1,-4.1,0.0
136,Wali Jones,PG,33,PHI,16,157,11.2,.538,,.342,0.0,5.5,2.8,26.3,1.1,0.0,,,,0.1,0.1,0.2,.059,,-3.2,-0.6,-3.8,-0.1
137,Rich Kelley,C,22,NOJ,75,1346,19.3,.562,,.541,14.1,25.0,19.5,16.3,1.7,2.4,,,,2.4,2.4,4.8,.171,,1.2,1.6,2.8,1.6
138,Len Kosmalski,C,24,KCK,9,93,12.1,.433,,.350,9.8,17.8,13.7,17.0,1.5,2.3,,,,0.0,0.1,0.1,.041,,-2.5,0.6,-1.9,0.1
139,Tom Kozelko,PF,24,WSB,67,584,7.5,.512,,.303,3.5,10.9,7.3,7.3,1.5,0.4,,,,0.0,0.7,0.7,.057,,-3.2,1.1,-2.1,0.0
140,Tom Kropp,SG,22,WSB,25,72,3.9,.291,,.200,7.5,14.0,10.8,14.6,1.3,0.0,,,,-0.3,0.1,-0.2,-0.160,,-6.6,-0.6,-7.2,-0.2
141,Steve Kuberski,C-SF,28,TOT,70,967,12.0,.523,,.271,9.2,17.3,13.2,6.5,0.6,0.7,,,,1.2,1.1,2.3,.113,,-1.2,-0.2,-1.3,0.2
142,Steve Kuberski,SF,28,BUF,10,85,7.8,.464,,.176,5.1,25.0,15.4,4.4,0.5,1.2,,,,0.0,0.1,0.1,.043,,-3.3,0.0,-3.4,0.0
143,Steve Kuberski,C,28,BOS,60,882,12.4,.527,,.277,9.6,16.5,13.0,6.7,0.6,0.6,,,,1.2,1.0,2.2,.120,,-0.9,-0.2,-1.1,0.2
144,Kevin Kunnert,C,24,HOU,80,2335,16.4,.505,,.164,12.8,23.4,18.3,9.5,1.1,2.4,,,,2.6,2.2,4.8,.099,,0.1,-0.7,-0.6,0.8
145,C.J. Kupec,SF,23,LAL,16,55,9.7,.301,,.275,7.2,32.0,20.0,12.7,2.4,0.0,,,,-0.3,0.1,-0.2,-0.198,,-5.8,-0.9,-6.7,-0.1
