,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,New Jersey Nets,49,33,.598,95.4,90.1,4.42,Y,N
1,Philadelphia 76ers,48,34,.585,96.8,94.5,1.76,Y,N
2,Boston Celtics,44,38,.537,92.7,93.1,-0.75,Y,N
3,Orlando Magic,42,40,.512,98.5,98.4,-0.39,Y,N
4,Washington Wizards,37,45,.451,91.5,92.5,-1.47,N,Y
5,New York Knicks,37,45,.451,95.9,97.2,-1.61,N,Y
6,Miami Heat,25,57,.305,85.6,90.6,-5.13,N,Y
7,Detroit Pistons,50,32,.610,91.4,87.7,2.97,Y,N
8,Indiana Pacers,48,34,.585,96.8,93.3,2.79,Y,N
9,New Orleans Hornets,47,35,.573,93.9,91.8,1.52,Y,N
10,Milwaukee Bucks,42,40,.512,99.5,99.3,-0.24,Y,N
11,Atlanta Hawks,35,47,.427,94.1,97.6,-3.87,N,Y
12,Chicago Bulls,30,52,.366,95.0,100.1,-5.31,N,Y
13,Toronto Raptors,24,58,.293,90.9,96.8,-6.10,N,Y
14,Cleveland Cavaliers,17,65,.207,91.4,101.0,-9.59,N,Y
15,San Antonio Spurs,60,22,.732,95.8,90.4,5.65,Y,N
16,Dallas Mavericks,60,22,.732,103.0,95.2,7.90,Y,N
17,Minnesota Timberwolves,51,31,.622,98.1,96.0,2.46,Y,N
18,Utah Jazz,47,35,.573,94.7,92.3,2.76,Y,N
19,Houston Rockets,43,39,.524,93.8,92.3,1.89,N,N
20,Memphis Grizzlies,28,54,.341,97.5,100.7,-2.60,N,Y
21,Denver Nuggets,17,65,.207,84.2,92.4,-7.41,N,Y
22,Sacramento Kings,59,23,.720,101.7,95.2,6.68,Y,N
23,Los Angeles Lakers,50,32,.610,100.4,98.0,2.71,Y,N
24,Portland Trail Blazers,50,32,.610,95.2,92.5,2.97,Y,N
25,Phoenix Suns,44,38,.537,95.5,94.4,1.57,Y,N
26,Seattle SuperSonics,40,42,.488,92.1,92.3,0.37,N,Y
27,Golden State Warriors,38,44,.463,102.4,103.6,-0.60,N,Y
28,Los Angeles Clippers,27,55,.329,93.8,97.9,-3.45,N,Y
