,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,New York Knicks,57,25,.695,98.5,91.5,6.48,Y,N
1,Orlando Magic,50,32,.610,105.7,101.8,3.68,Y,N
2,New Jersey Nets,45,37,.549,103.2,101.0,2.11,Y,N
3,Miami Heat,42,40,.512,103.4,100.7,2.40,Y,N
4,Boston Celtics,32,50,.390,100.8,105.1,-4.28,N,Y
5,Philadelphia 76ers,25,57,.305,98.0,105.6,-7.37,N,Y
6,Washington Bullets,24,58,.293,100.4,107.7,-7.13,N,Y
7,Atlanta Hawks,57,25,.695,101.4,96.2,4.94,Y,N
8,Chicago Bulls,55,27,.671,98.0,94.9,2.87,Y,N
9,Indiana Pacers,47,35,.573,101.0,97.5,3.26,Y,N
10,Cleveland Cavaliers,47,35,.573,101.2,97.1,3.64,Y,N
11,Charlotte Hornets,41,41,.500,106.5,106.7,-0.23,N,N
12,Milwaukee Bucks,20,62,.244,96.9,103.4,-6.24,N,Y
13,Detroit Pistons,20,62,.244,96.9,104.7,-7.46,N,Y
14,Houston Rockets,58,24,.707,101.1,96.8,4.19,Y,N
15,San Antonio Spurs,55,27,.671,100.0,94.8,5.05,Y,N
16,Utah Jazz,53,29,.646,101.9,97.7,4.10,Y,N
17,Denver Nuggets,42,40,.512,100.3,98.8,1.54,Y,N
18,Minnesota Timberwolves,20,62,.244,96.7,103.6,-6.55,N,Y
19,Dallas Mavericks,13,69,.159,95.1,103.8,-8.19,N,Y
20,Seattle SuperSonics,63,19,.768,105.9,96.9,8.68,Y,N
21,Phoenix Suns,56,26,.683,108.2,103.4,4.68,Y,N
22,Golden State Warriors,50,32,.610,107.9,106.1,1.76,Y,N
23,Portland Trail Blazers,47,35,.573,107.3,104.6,2.60,Y,N
24,Los Angeles Lakers,33,49,.402,100.4,104.7,-3.93,N,Y
25,Sacramento Kings,28,54,.341,101.1,106.9,-5.32,N,Y
26,Los Angeles Clippers,27,55,.329,103.0,108.7,-5.28,N,Y
