,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,57,25,.695,113.6,107.7,6.15,Y,N
1,Washington Bullets,38,44,.463,105.5,106.3,-0.16,Y,Y
2,New York Knicks,38,44,.463,105.5,106.0,0.14,Y,Y
3,Philadelphia 76ers,36,46,.439,105.7,107.1,-0.79,N,Y
4,New Jersey Nets,19,63,.232,100.4,108.5,-6.98,N,Y
5,Detroit Pistons,54,28,.659,109.2,104.1,5.46,Y,N
6,Chicago Bulls,50,32,.610,105.0,101.6,3.76,Y,N
7,Atlanta Hawks,50,32,.610,107.9,104.3,4.02,Y,N
8,Milwaukee Bucks,42,40,.512,106.1,105.5,1.21,Y,N
9,Cleveland Cavaliers,42,40,.512,104.5,103.7,1.28,Y,N
10,Indiana Pacers,38,44,.463,104.6,105.4,-0.18,N,Y
11,Denver Nuggets,54,28,.659,116.7,112.7,3.32,Y,N
12,Dallas Mavericks,53,29,.646,109.3,104.9,3.59,Y,N
13,Utah Jazz,47,35,.573,108.5,104.8,2.96,Y,N
14,Houston Rockets,46,36,.561,109.0,107.6,0.82,Y,N
15,San Antonio Spurs,31,51,.378,113.6,118.5,-5.02,Y,Y
16,Sacramento Kings,24,58,.293,108.0,113.7,-5.84,N,Y
17,Los Angeles Lakers,62,20,.756,112.8,107.0,4.81,Y,N
18,Portland Trail Blazers,53,29,.646,116.1,111.5,3.59,Y,N
19,Seattle SuperSonics,44,38,.537,111.4,109.3,1.29,Y,N
20,Phoenix Suns,28,54,.341,108.5,113.0,-4.80,N,Y
21,Golden State Warriors,20,62,.244,107.0,115.3,-8.38,N,Y
22,Los Angeles Clippers,17,65,.207,98.8,109.1,-10.24,N,Y
