,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Toronto Raptors,48,34,.585,101.3,98.0,2.55,Y,N
1,Brooklyn Nets,44,38,.537,98.5,99.5,-1.58,Y,N
2,New York Knicks,37,45,.451,98.6,99.4,-1.40,N,Y
3,Boston Celtics,25,57,.305,96.2,100.7,-4.97,N,Y
4,Philadelphia 76ers,19,63,.232,99.5,109.9,-10.66,N,Y
5,Indiana Pacers,56,26,.683,96.7,92.3,3.63,Y,N
6,Chicago Bulls,48,34,.585,93.7,91.8,1.20,Y,N
7,Cleveland Cavaliers,33,49,.402,98.2,101.5,-3.86,N,Y
8,Detroit Pistons,29,53,.354,101.0,104.7,-4.13,N,Y
9,Milwaukee Bucks,15,67,.183,95.5,103.7,-8.41,N,Y
10,Miami Heat,54,28,.659,102.2,97.4,4.15,Y,N
11,Washington Wizards,44,38,.537,100.7,99.4,0.48,Y,N
12,Charlotte Bobcats,43,39,.524,96.9,97.1,-0.89,Y,N
13,Atlanta Hawks,38,44,.463,101.0,101.5,-0.88,Y,Y
14,Orlando Magic,23,59,.280,96.5,102.0,-5.88,N,Y
15,Oklahoma City Thunder,59,23,.720,106.2,99.8,6.66,Y,N
16,Portland Trail Blazers,54,28,.659,106.7,102.8,4.44,Y,N
17,Minnesota Timberwolves,40,42,.488,106.9,104.3,3.10,N,Y
18,Denver Nuggets,36,46,.439,104.4,106.5,-1.40,N,Y
19,Utah Jazz,25,57,.305,95.0,102.2,-6.27,N,Y
20,Los Angeles Clippers,57,25,.695,107.9,101.0,7.27,Y,N
21,Golden State Warriors,51,31,.622,104.3,99.5,5.15,Y,N
22,Phoenix Suns,48,34,.585,105.2,102.6,3.02,N,N
23,Sacramento Kings,28,54,.341,100.5,103.4,-2.08,N,Y
24,Los Angeles Lakers,27,55,.329,103.0,109.2,-5.33,N,Y
25,San Antonio Spurs,62,20,.756,105.4,97.6,8.00,Y,N
26,Houston Rockets,54,28,.659,107.7,103.1,5.06,Y,N
27,Memphis Grizzlies,50,32,.610,96.1,94.6,2.18,Y,N
28,Dallas Mavericks,49,33,.598,104.8,102.4,2.91,Y,N
29,New Orleans Pelicans,34,48,.415,99.7,102.4,-1.98,N,Y
