,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,New York Knicks,60,22,.732,101.6,95.4,5.87,Y,N
1,Boston Celtics,48,34,.585,103.7,102.8,0.93,Y,N
2,New Jersey Nets,43,39,.524,102.8,101.6,1.20,Y,N
3,Orlando Magic,41,41,.500,105.5,104.2,1.35,N,N
4,Miami Heat,36,46,.439,103.6,104.7,-0.93,N,Y
5,Philadelphia 76ers,26,56,.317,104.3,110.1,-5.25,N,Y
6,Washington Bullets,22,60,.268,101.9,108.9,-6.49,N,Y
7,Chicago Bulls,57,25,.695,105.2,98.9,6.19,Y,N
8,Cleveland Cavaliers,54,28,.659,107.7,101.3,6.30,Y,N
9,Charlotte Hornets,44,38,.537,110.1,110.4,-0.02,Y,N
10,Atlanta Hawks,43,39,.524,107.5,108.4,-0.67,Y,N
11,Indiana Pacers,41,41,.500,107.8,106.1,1.77,Y,N
12,Detroit Pistons,40,42,.488,100.6,102.0,-1.10,N,Y
13,Milwaukee Bucks,28,54,.341,102.3,106.1,-3.26,N,Y
14,Houston Rockets,55,27,.671,104.0,99.8,3.57,Y,N
15,San Antonio Spurs,49,33,.598,105.5,102.8,2.21,Y,N
16,Utah Jazz,47,35,.573,106.2,104.0,1.74,Y,N
17,Denver Nuggets,36,46,.439,105.2,106.9,-2.14,N,Y
18,Minnesota Timberwolves,19,63,.232,98.1,105.9,-7.62,N,Y
19,Dallas Mavericks,11,71,.134,99.3,114.5,-14.68,N,Y
20,Phoenix Suns,62,20,.756,113.4,106.7,6.27,Y,N
21,Seattle SuperSonics,55,27,.671,108.3,101.3,6.66,Y,N
22,Portland Trail Blazers,51,31,.622,108.5,105.4,2.92,Y,N
23,Los Angeles Clippers,41,41,.500,107.1,106.8,0.33,Y,N
24,Los Angeles Lakers,39,43,.476,104.2,105.5,-1.20,Y,Y
25,Golden State Warriors,34,48,.415,109.9,110.9,-0.94,N,Y
26,Sacramento Kings,25,57,.305,107.9,111.1,-3.00,N,Y
