,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,New Jersey Nets,49,33,.598,93.8,92.4,1.11,Y,N
1,Philadelphia 76ers,38,44,.463,99.4,101.3,-2.10,N,Y
2,Boston Celtics,33,49,.402,98.0,99.5,-1.59,N,Y
3,Toronto Raptors,27,55,.329,101.1,104.0,-3.03,N,Y
4,New York Knicks,23,59,.280,95.6,102.0,-6.30,N,Y
5,Detroit Pistons,64,18,.780,96.8,90.2,6.24,Y,N
6,Cleveland Cavaliers,50,32,.610,97.6,95.4,2.17,Y,N
7,Indiana Pacers,41,41,.500,93.9,92.0,1.62,Y,N
8,Chicago Bulls,41,41,.500,97.8,97.2,0.51,Y,N
9,Milwaukee Bucks,40,42,.488,97.8,98.8,-1.07,Y,Y
10,Miami Heat,52,30,.634,99.9,96.0,3.59,Y,N
11,Washington Wizards,42,40,.512,101.7,99.8,1.57,Y,N
12,Orlando Magic,36,46,.439,94.9,96.0,-1.26,N,Y
13,Charlotte Bobcats,26,56,.317,96.9,100.9,-3.90,N,Y
14,Atlanta Hawks,26,56,.317,97.2,102.0,-4.69,N,Y
15,Denver Nuggets,44,38,.537,100.3,100.1,0.36,Y,N
16,Utah Jazz,41,41,.500,92.4,95.0,-2.49,N,N
17,Seattle SuperSonics,35,47,.427,102.6,105.6,-2.88,N,Y
18,Minnesota Timberwolves,33,49,.402,91.7,93.6,-1.75,N,Y
19,Portland Trail Blazers,21,61,.256,88.8,98.3,-8.91,N,Y
20,Phoenix Suns,54,28,.659,108.4,102.8,5.48,Y,N
21,Los Angeles Clippers,47,35,.573,97.2,95.6,1.75,Y,N
22,Los Angeles Lakers,45,37,.549,99.4,96.9,2.53,Y,N
23,Sacramento Kings,44,38,.537,98.9,97.3,1.61,Y,N
24,Golden State Warriors,34,48,.415,98.5,99.8,-1.11,N,Y
25,San Antonio Spurs,63,19,.768,95.6,88.8,6.69,Y,N
26,Dallas Mavericks,60,22,.732,99.1,93.1,5.96,Y,N
27,Memphis Grizzlies,49,33,.598,92.2,88.5,3.74,Y,N
28,New Orleans/Oklahoma City Hornets,38,44,.463,92.8,95.6,-2.51,N,Y
29,Houston Rockets,34,48,.415,90.1,91.7,-1.30,N,Y
