,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Cleveland Cavaliers,57,25,.695,104.3,98.3,5.45,Y,N
1,Toronto Raptors,56,26,.683,102.7,98.2,4.08,Y,N
2,Miami Heat,48,34,.585,100.0,98.4,1.50,Y,N
3,Atlanta Hawks,48,34,.585,102.8,99.2,3.49,Y,N
4,Boston Celtics,48,34,.585,105.7,102.5,2.84,Y,N
5,Charlotte Hornets,48,34,.585,103.4,100.7,2.36,Y,N
6,Indiana Pacers,45,37,.549,102.2,100.5,1.62,Y,N
7,Detroit Pistons,44,38,.537,102.0,101.4,0.43,Y,N
8,Chicago Bulls,42,40,.512,101.6,103.1,-1.46,N,N
9,Washington Wizards,41,41,.500,104.1,104.6,-0.50,N,N
10,Orlando Magic,35,47,.427,102.1,103.7,-1.68,N,Y
11,Milwaukee Bucks,33,49,.402,99.0,103.2,-3.98,N,Y
12,New York Knicks,32,50,.390,98.4,101.1,-2.74,N,Y
13,Brooklyn Nets,21,61,.256,98.6,106.0,-7.12,N,Y
14,Philadelphia 76ers,10,72,.122,97.4,107.6,-9.92,N,Y
15,Golden State Warriors,73,9,.890,114.9,104.1,10.38,Y,N
16,San Antonio Spurs,67,15,.817,103.5,92.9,10.28,Y,N
17,Oklahoma City Thunder,55,27,.671,110.2,102.9,7.09,Y,N
18,Los Angeles Clippers,53,29,.646,104.5,100.2,4.13,Y,N
19,Portland Trail Blazers,44,38,.537,105.1,104.3,0.98,Y,N
20,Dallas Mavericks,42,40,.512,102.3,102.6,-0.02,Y,N
21,Memphis Grizzlies,42,40,.512,99.1,101.3,-2.14,Y,N
22,Houston Rockets,41,41,.500,106.5,106.4,0.34,Y,N
23,Utah Jazz,40,42,.488,97.7,95.9,1.84,N,Y
24,Sacramento Kings,33,49,.402,106.6,109.1,-2.32,N,Y
25,Denver Nuggets,33,49,.402,101.9,105.0,-2.81,N,Y
26,New Orleans Pelicans,30,52,.366,102.7,106.5,-3.56,N,Y
27,Minnesota Timberwolves,29,53,.354,102.4,106.0,-3.38,N,Y
28,Phoenix Suns,23,59,.280,100.9,107.5,-6.32,N,Y
29,Los Angeles Lakers,17,65,.207,97.3,106.9,-8.92,N,Y
