,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,59,23,.720,112.6,106.0,6.57,Y,N
1,Philadelphia 76ers,45,37,.549,106.5,106.6,0.11,Y,N
2,Washington Bullets,42,40,.512,106.0,107.3,-1.02,Y,N
3,New Jersey Nets,24,58,.293,108.5,113.5,-4.42,N,Y
4,New York Knicks,24,58,.293,103.8,110.0,-5.42,N,Y
5,Atlanta Hawks,57,25,.695,110.0,102.8,7.18,Y,N
6,Detroit Pistons,52,30,.634,111.2,107.8,3.51,Y,N
7,Milwaukee Bucks,50,32,.610,110.4,106.5,4.04,Y,N
8,Indiana Pacers,41,41,.500,106.1,106.7,-0.17,Y,N
9,Chicago Bulls,40,42,.488,104.8,103.9,1.26,Y,Y
10,Cleveland Cavaliers,31,51,.378,104.4,108.2,-3.19,N,Y
11,Dallas Mavericks,55,27,.671,116.7,110.4,5.54,Y,N
12,Utah Jazz,44,38,.537,107.9,107.5,0.04,Y,N
13,Houston Rockets,42,40,.512,106.9,105.9,0.60,Y,N
14,Denver Nuggets,37,45,.451,116.7,117.6,-1.14,Y,Y
15,Sacramento Kings,29,53,.354,110.9,114.1,-3.34,N,Y
16,San Antonio Spurs,28,54,.341,108.3,113.4,-5.09,N,Y
17,Los Angeles Lakers,65,17,.793,117.8,108.5,8.32,Y,N
18,Portland Trail Blazers,49,33,.598,117.9,114.8,2.57,Y,N
19,Golden State Warriors,42,40,.512,112.0,114.4,-2.54,Y,N
20,Seattle SuperSonics,39,43,.476,113.7,113.3,0.08,Y,Y
21,Phoenix Suns,36,46,.439,111.1,113.5,-2.63,N,Y
22,Los Angeles Clippers,12,70,.146,104.5,115.9,-11.00,N,Y
