,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Philadelphia 76ers,55,27,.671,114.7,109.6,4.87,Y,N
1,New York Knicks,43,39,.524,113.4,114.0,-0.53,Y,N
2,Boston Celtics,32,50,.390,105.7,107.7,-1.86,N,Y
3,Buffalo Braves,27,55,.329,105.3,109.0,-3.55,N,Y
4,New Jersey Nets,24,58,.293,106.7,112.5,-5.61,N,Y
5,San Antonio Spurs,52,30,.634,114.5,111.1,3.20,Y,N
6,Washington Bullets,44,38,.537,110.3,109.4,0.82,Y,N
7,Cleveland Cavaliers,43,39,.524,104.4,103.9,0.44,Y,N
8,Atlanta Hawks,41,41,.500,103.7,103.9,-0.13,Y,N
9,New Orleans Jazz,39,43,.476,107.6,109.5,-1.80,N,Y
10,Houston Rockets,28,54,.341,103.8,107.8,-3.83,N,Y
11,Denver Nuggets,48,34,.585,111.8,110.9,0.80,Y,N
12,Milwaukee Bucks,44,38,.537,112.4,113.0,-0.59,Y,N
13,Chicago Bulls,40,42,.488,103.9,104.8,-0.79,N,Y
14,Detroit Pistons,38,44,.463,109.0,110.2,-1.22,N,Y
15,Kansas City Kings,31,51,.378,109.5,111.4,-1.76,N,Y
16,Indiana Pacers,31,51,.378,108.6,111.1,-2.37,N,Y
17,Portland Trail Blazers,58,24,.707,107.7,101.5,5.92,Y,N
18,Phoenix Suns,49,33,.598,112.3,108.6,3.50,Y,N
19,Seattle SuperSonics,47,35,.573,104.5,102.9,1.48,Y,N
20,Los Angeles Lakers,45,37,.549,110.3,107.6,2.59,Y,N
21,Golden State Warriors,43,39,.524,106.1,105.7,0.41,N,N
