,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,56,26,.683,96.5,91.1,4.83,Y,N
1,New York Knicks,42,40,.512,106.5,105.7,0.48,Y,N
2,Philadelphia 76ers,41,41,.500,99.0,97.5,1.01,Y,N
3,New Jersey Nets,24,58,.293,94.2,100.4,-6.28,N,Y
4,Toronto Raptors,22,60,.268,99.1,105.4,-6.28,N,Y
5,Chicago Bulls,62,20,.756,98.6,91.3,6.53,Y,N
6,Indiana Pacers,37,45,.451,99.8,100.9,-1.38,Y,Y
7,Milwaukee Bucks,35,47,.427,91.9,92.7,-1.02,N,Y
8,Detroit Pistons,30,52,.366,97.0,100.6,-3.78,N,Y
9,Cleveland Cavaliers,19,63,.232,95.5,104.5,-8.88,N,Y
10,Miami Heat,58,24,.707,102.1,94.6,6.76,Y,N
11,Orlando Magic,52,30,.634,99.2,93.7,4.92,Y,N
12,Atlanta Hawks,44,38,.537,95.0,95.8,-1.10,Y,N
13,Charlotte Bobcats,34,48,.415,93.3,97.3,-4.08,N,Y
14,Washington Wizards,23,59,.280,97.3,104.7,-7.30,N,Y
15,Oklahoma City Thunder,55,27,.671,104.8,101.0,3.81,Y,N
16,Denver Nuggets,50,32,.610,107.5,102.7,4.81,Y,N
17,Portland Trail Blazers,48,34,.585,96.3,94.8,1.85,Y,N
18,Utah Jazz,39,43,.476,99.4,101.3,-1.44,N,Y
19,Minnesota Timberwolves,17,65,.207,101.1,107.7,-5.97,N,Y
20,Los Angeles Lakers,57,25,.695,101.5,95.4,6.01,Y,N
21,Phoenix Suns,40,42,.488,105.0,105.9,-0.46,N,Y
22,Golden State Warriors,36,46,.439,103.4,105.7,-2.00,N,Y
23,Los Angeles Clippers,32,50,.390,98.6,101.8,-2.71,N,Y
24,Sacramento Kings,24,58,.293,99.4,104.7,-4.80,N,Y
25,San Antonio Spurs,61,21,.744,103.7,98.0,5.86,Y,N
26,Dallas Mavericks,57,25,.695,100.2,96.0,4.41,Y,N
27,New Orleans Hornets,46,36,.561,94.9,94.0,1.28,Y,N
28,Memphis Grizzlies,46,36,.561,99.9,97.6,2.55,Y,N
29,Houston Rockets,43,39,.524,105.9,103.7,2.37,N,N
