,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,62,20,.756,100.9,93.4,7.44,Y,N
1,Philadelphia 76ers,41,41,.500,97.4,97.3,0.16,Y,N
2,New Jersey Nets,34,48,.415,98.1,100.5,-2.31,N,Y
3,Toronto Raptors,33,49,.402,99.0,101.9,-2.54,N,Y
4,New York Knicks,32,50,.390,105.2,107.8,-2.33,N,Y
5,Cleveland Cavaliers,66,16,.805,100.3,91.4,8.68,Y,N
6,Chicago Bulls,41,41,.500,102.2,102.5,-0.16,Y,N
7,Detroit Pistons,39,43,.476,94.2,94.7,-0.36,Y,Y
8,Indiana Pacers,36,46,.439,105.1,106.2,-0.76,N,Y
9,Milwaukee Bucks,34,48,.415,99.3,100.4,-0.88,N,Y
10,Orlando Magic,59,23,.720,101.0,94.4,6.48,Y,N
11,Atlanta Hawks,47,35,.573,98.1,96.5,1.70,Y,N
12,Miami Heat,43,39,.524,98.3,98.0,0.49,Y,N
13,Charlotte Bobcats,35,47,.427,93.6,94.9,-1.20,N,Y
14,Washington Wizards,19,63,.232,96.1,103.5,-6.98,N,Y
15,Denver Nuggets,54,28,.659,104.3,100.9,3.13,Y,N
16,Portland Trail Blazers,54,28,.659,99.4,94.1,5.00,Y,N
17,Utah Jazz,48,34,.585,103.6,100.9,2.31,Y,N
18,Minnesota Timberwolves,24,58,.293,97.8,102.7,-4.74,N,Y
19,Oklahoma City Thunder,23,59,.280,97.0,103.1,-6.04,N,Y
20,Los Angeles Lakers,65,17,.793,106.9,99.3,7.11,Y,N
21,Phoenix Suns,46,36,.561,109.4,107.5,1.62,N,N
22,Golden State Warriors,29,53,.354,108.6,112.3,-3.80,N,Y
23,Los Angeles Clippers,19,63,.232,95.1,103.9,-8.47,N,Y
24,Sacramento Kings,17,65,.207,100.6,109.3,-8.60,N,Y
25,San Antonio Spurs,54,28,.659,97.0,93.3,3.36,Y,N
26,Houston Rockets,53,29,.646,98.4,94.4,3.73,Y,N
27,Dallas Mavericks,50,32,.610,101.7,99.8,1.68,Y,N
28,New Orleans Hornets,49,33,.598,95.8,94.3,1.41,Y,N
29,Memphis Grizzlies,24,58,.293,93.9,99.3,-5.23,N,Y
