,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,67,15,.817,114.1,104.7,9.06,Y,N
1,Philadelphia 76ers,54,28,.659,110.4,108.0,2.46,Y,N
2,Washington Bullets,39,43,.476,103.0,104.8,-1.28,Y,Y
3,New Jersey Nets,39,43,.476,109.1,111.1,-1.39,Y,Y
4,New York Knicks,23,59,.280,98.7,104.3,-4.82,N,Y
5,Milwaukee Bucks,57,25,.695,114.5,105.5,8.69,Y,N
6,Atlanta Hawks,50,32,.610,108.6,106.2,2.59,Y,N
7,Detroit Pistons,46,36,.561,114.2,113.0,1.44,Y,N
8,Chicago Bulls,30,52,.366,109.3,113.1,-3.12,Y,Y
9,Cleveland Cavaliers,29,53,.354,107.8,110.6,-2.19,N,Y
10,Indiana Pacers,26,56,.317,103.9,107.2,-2.66,N,Y
11,Houston Rockets,51,31,.622,114.4,111.8,2.10,Y,N
12,Denver Nuggets,47,35,.573,114.8,113.5,0.89,Y,N
13,Dallas Mavericks,44,38,.537,115.3,114.2,0.70,Y,N
14,Utah Jazz,42,40,.512,108.2,108.5,-0.67,Y,N
15,Sacramento Kings,37,45,.451,108.8,111.9,-3.19,Y,Y
16,San Antonio Spurs,35,47,.427,111.2,113.1,-2.06,Y,Y
17,Los Angeles Lakers,62,20,.756,117.3,109.5,6.84,Y,N
18,Portland Trail Blazers,40,42,.488,115.1,114.0,0.61,Y,Y
19,Phoenix Suns,32,50,.390,110.0,113.0,-3.16,N,Y
20,Los Angeles Clippers,32,50,.390,108.6,115.5,-6.83,N,Y
21,Seattle SuperSonics,31,51,.378,104.4,104.5,-0.47,N,Y
22,Golden State Warriors,30,52,.366,113.4,116.9,-3.59,N,Y
