,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Orlando Magic,60,22,.732,104.5,99.0,5.40,Y,N
1,New York Knicks,47,35,.573,97.2,94.9,2.24,Y,N
2,Miami Heat,42,40,.512,96.5,95.0,1.46,Y,N
3,Washington Bullets,39,43,.476,102.5,101.5,0.99,N,Y
4,Boston Celtics,33,49,.402,103.6,107.0,-3.37,N,Y
5,New Jersey Nets,30,52,.366,93.7,97.9,-4.14,N,Y
6,Philadelphia 76ers,18,64,.220,94.5,104.5,-9.45,N,Y
7,Chicago Bulls,72,10,.878,105.2,92.9,11.80,Y,N
8,Indiana Pacers,52,30,.634,99.3,96.1,3.11,Y,N
9,Cleveland Cavaliers,47,35,.573,91.1,88.5,2.49,Y,N
10,Atlanta Hawks,46,36,.561,98.3,97.1,1.29,Y,N
11,Detroit Pistons,46,36,.561,95.4,92.9,2.45,Y,N
12,Charlotte Hornets,41,41,.500,102.8,103.4,-0.48,N,N
13,Milwaukee Bucks,25,57,.305,95.6,100.9,-4.92,N,Y
14,Toronto Raptors,21,61,.256,97.5,105.0,-7.20,N,Y
15,San Antonio Spurs,59,23,.720,103.4,97.1,5.98,Y,N
16,Utah Jazz,55,27,.671,102.5,95.9,6.25,Y,N
17,Houston Rockets,48,34,.585,102.5,100.7,1.63,Y,N
18,Denver Nuggets,35,47,.427,97.7,100.4,-2.62,N,Y
19,Minnesota Timberwolves,26,56,.317,97.9,103.2,-5.14,N,Y
20,Dallas Mavericks,26,56,.317,102.5,107.5,-4.71,N,Y
21,Vancouver Grizzlies,15,67,.183,89.8,99.8,-9.55,N,Y
22,Seattle SuperSonics,64,18,.780,104.5,96.7,7.40,Y,N
23,Los Angeles Lakers,53,29,.646,102.9,98.5,4.21,Y,N
24,Portland Trail Blazers,44,38,.537,99.3,97.0,2.21,Y,N
25,Phoenix Suns,41,41,.500,104.3,104.0,0.28,Y,N
26,Sacramento Kings,39,43,.476,99.5,102.3,-2.62,Y,Y
27,Golden State Warriors,36,46,.439,101.6,103.1,-1.42,N,Y
28,Los Angeles Clippers,29,53,.354,99.4,103.0,-3.46,N,Y
