,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Philadelphia 76ers,50,32,.610,110.2,106.2,3.78,Y,N
1,Boston Celtics,44,38,.537,104.5,106.5,-1.90,Y,N
2,New York Knicks,40,42,.488,108.6,108.6,0.01,N,Y
3,Buffalo Braves,30,52,.366,105.0,109.5,-4.28,N,Y
4,New York Nets,22,60,.268,95.9,102.7,-6.54,N,Y
5,Houston Rockets,49,33,.598,106.4,104.8,1.44,Y,N
6,Washington Bullets,48,34,.585,105.5,104.5,0.90,Y,N
7,San Antonio Spurs,44,38,.537,115.0,114.4,0.53,Y,N
8,Cleveland Cavaliers,43,39,.524,102.1,101.0,1.08,Y,N
9,New Orleans Jazz,35,47,.427,104.6,107.4,-2.68,N,Y
10,Atlanta Hawks,31,51,.378,102.4,106.4,-3.87,N,Y
11,Denver Nuggets,50,32,.610,112.6,107.4,4.95,Y,N
12,Detroit Pistons,44,38,.537,109.4,110.4,-1.00,Y,N
13,Chicago Bulls,44,38,.537,98.9,98.0,0.92,Y,N
14,Kansas City Kings,40,42,.488,107.7,106.8,0.93,N,Y
15,Indiana Pacers,36,46,.439,106.8,108.6,-1.68,N,Y
16,Milwaukee Bucks,30,52,.366,108.4,111.5,-2.99,N,Y
17,Los Angeles Lakers,53,29,.646,106.9,104.1,2.64,Y,N
18,Portland Trail Blazers,49,33,.598,111.7,106.2,5.39,Y,N
19,Golden State Warriors,46,36,.561,110.9,107.7,3.10,Y,N
20,Seattle SuperSonics,40,42,.488,104.0,105.5,-1.43,N,Y
21,Phoenix Suns,34,48,.415,104.9,104.2,0.64,N,Y
