,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,54,28,.659,106.2,103.9,2.25,Y,N
1,Philadelphia 76ers,46,36,.561,106.5,106.3,0.33,Y,N
2,Buffalo Braves,46,36,.561,107.3,106.4,0.85,Y,N
3,New York Knicks,38,44,.463,102.7,103.9,-1.05,N,Y
4,Cleveland Cavaliers,49,33,.598,101.7,99.2,2.34,Y,N
5,Washington Bullets,48,34,.585,102.8,100.4,2.20,Y,N
6,Houston Rockets,40,42,.488,106.2,107.0,-0.71,N,Y
7,New Orleans Jazz,38,44,.463,104.1,105.0,-0.74,N,Y
8,Atlanta Hawks,29,53,.354,102.6,105.5,-2.66,N,Y
9,Milwaukee Bucks,38,44,.463,101.8,103.3,-1.55,Y,Y
10,Detroit Pistons,36,46,.439,104.9,106.0,-1.18,Y,Y
11,Kansas City Kings,31,51,.378,103.3,106.2,-2.83,N,Y
12,Chicago Bulls,24,58,.293,95.9,98.8,-2.89,N,Y
13,Golden State Warriors,59,23,.720,109.8,103.1,6.23,Y,N
14,Seattle SuperSonics,43,39,.524,106.4,106.7,-0.15,Y,N
15,Phoenix Suns,42,40,.512,105.1,104.5,0.59,Y,N
16,Los Angeles Lakers,40,42,.488,106.9,106.8,0.18,N,Y
17,Portland Trail Blazers,37,45,.451,104.1,105.3,-1.11,N,Y
