,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Philadelphia 76ers,56,26,.683,94.7,90.4,3.64,Y,N
1,Miami Heat,50,32,.610,88.9,86.6,1.73,Y,N
2,New York Knicks,48,34,.585,88.7,86.1,1.98,Y,N
3,Orlando Magic,43,39,.524,97.5,96.5,0.39,Y,N
4,Boston Celtics,36,46,.439,94.6,96.8,-2.40,N,Y
5,New Jersey Nets,26,56,.317,92.1,97.1,-5.30,N,Y
6,Washington Wizards,19,63,.232,93.2,99.9,-6.75,N,Y
7,Milwaukee Bucks,52,30,.634,100.7,96.9,3.14,Y,N
8,Toronto Raptors,47,35,.573,97.6,95.4,1.69,Y,N
9,Charlotte Hornets,46,36,.561,91.9,89.8,1.45,Y,N
10,Indiana Pacers,41,41,.500,92.6,92.8,-0.77,Y,N
11,Detroit Pistons,32,50,.390,95.6,97.3,-2.08,N,Y
12,Cleveland Cavaliers,30,52,.366,92.2,96.5,-4.48,N,Y
13,Atlanta Hawks,25,57,.305,91.0,96.2,-5.55,N,Y
14,Chicago Bulls,15,67,.183,87.6,96.7,-9.09,N,Y
15,San Antonio Spurs,58,24,.707,96.2,88.4,7.92,Y,N
16,Utah Jazz,53,29,.646,97.1,92.4,5.00,Y,N
17,Dallas Mavericks,53,29,.646,100.5,96.2,4.61,Y,N
18,Minnesota Timberwolves,47,35,.573,97.3,96.0,1.81,Y,N
19,Houston Rockets,45,37,.549,97.2,94.9,2.71,N,N
20,Denver Nuggets,40,42,.488,96.6,99.0,-1.83,N,Y
21,Vancouver Grizzlies,23,59,.280,91.7,97.5,-4.94,N,Y
22,Los Angeles Lakers,56,26,.683,100.6,97.2,3.74,Y,N
23,Sacramento Kings,55,27,.671,101.7,95.9,6.07,Y,N
24,Phoenix Suns,51,31,.622,94.0,91.8,2.63,Y,N
25,Portland Trail Blazers,50,32,.610,95.4,91.2,4.52,Y,N
26,Seattle SuperSonics,44,38,.537,97.3,97.3,0.55,N,N
27,Los Angeles Clippers,31,51,.378,92.5,95.3,-2.23,N,Y
28,Golden State Warriors,17,65,.207,92.5,101.5,-8.11,N,Y
