,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,51,31,.622,106.6,103.0,3.41,Y,N
1,New York Knicks,51,31,.622,101.6,97.7,3.67,Y,N
2,New Jersey Nets,40,42,.488,105.4,107.1,-1.54,Y,Y
3,Miami Heat,38,44,.463,105.0,109.2,-3.94,Y,Y
4,Philadelphia 76ers,35,47,.427,101.9,103.2,-1.34,N,Y
5,Washington Bullets,25,57,.305,102.4,106.8,-4.35,N,Y
6,Orlando Magic,21,61,.256,101.6,108.5,-6.52,N,Y
7,Chicago Bulls,67,15,.817,109.9,99.5,10.07,Y,N
8,Cleveland Cavaliers,57,25,.695,108.9,103.4,5.34,Y,N
9,Detroit Pistons,48,34,.585,98.9,96.9,2.06,Y,N
10,Indiana Pacers,40,42,.488,112.2,110.3,1.85,Y,Y
11,Atlanta Hawks,38,44,.463,106.2,107.7,-1.15,N,Y
12,Milwaukee Bucks,31,51,.378,105.0,106.7,-1.46,N,Y
13,Charlotte Hornets,31,51,.378,109.5,113.4,-3.57,N,Y
14,Utah Jazz,55,27,.671,108.3,101.9,5.70,Y,N
15,San Antonio Spurs,47,35,.573,104.0,100.6,2.81,Y,N
16,Houston Rockets,42,40,.512,102.0,103.7,-1.94,N,N
17,Denver Nuggets,24,58,.293,99.7,107.6,-7.59,N,Y
18,Dallas Mavericks,22,60,.268,97.6,105.3,-7.47,N,Y
19,Minnesota Timberwolves,15,67,.183,100.5,107.5,-6.85,N,Y
20,Portland Trail Blazers,57,25,.695,111.4,104.1,6.94,Y,N
21,Golden State Warriors,55,27,.671,118.7,114.8,3.77,Y,N
22,Phoenix Suns,53,29,.646,112.1,106.2,5.68,Y,N
23,Seattle SuperSonics,47,35,.573,106.5,104.7,1.86,Y,N
24,Los Angeles Clippers,45,37,.549,102.9,101.9,1.10,Y,N
25,Los Angeles Lakers,43,39,.524,100.4,101.5,-0.95,Y,N
26,Sacramento Kings,29,53,.354,104.3,110.3,-5.63,N,Y
