,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,62,20,.756,112.1,105.6,6.42,Y,N
1,Philadelphia 76ers,52,30,.634,107.8,105.6,2.39,Y,N
2,New York Knicks,47,35,.573,106.9,103.0,3.79,Y,N
3,New Jersey Nets,45,37,.549,110.0,108.9,1.27,Y,N
4,Washington Bullets,35,47,.427,102.7,105.6,-2.36,Y,Y
5,Milwaukee Bucks,50,32,.610,105.7,101.5,4.04,Y,N
6,Detroit Pistons,49,33,.598,117.1,113.5,3.52,Y,N
7,Atlanta Hawks,40,42,.488,101.5,102.8,-1.08,Y,Y
8,Cleveland Cavaliers,28,54,.341,102.3,106.5,-3.71,N,Y
9,Chicago Bulls,27,55,.329,103.7,108.9,-4.69,N,Y
10,Indiana Pacers,26,56,.317,104.5,109.3,-4.25,N,Y
11,Utah Jazz,45,37,.549,115.0,113.8,0.81,Y,N
12,Dallas Mavericks,43,39,.524,110.4,110.0,0.15,Y,N
13,Denver Nuggets,38,44,.463,123.7,124.8,-1.27,Y,Y
14,Kansas City Kings,38,44,.463,110.0,111.5,-1.62,Y,Y
15,San Antonio Spurs,37,45,.451,120.3,120.5,-0.50,N,Y
16,Houston Rockets,29,53,.354,110.6,113.7,-3.12,N,Y
17,Los Angeles Lakers,54,28,.659,115.6,111.8,3.32,Y,N
18,Portland Trail Blazers,48,34,.585,113.1,109.6,3.13,Y,N
19,Seattle SuperSonics,42,40,.512,108.1,108.3,-0.34,Y,N
20,Phoenix Suns,41,41,.500,111.0,110.1,0.65,Y,N
21,Golden State Warriors,37,45,.451,109.9,113.3,-3.35,N,Y
22,San Diego Clippers,30,52,.366,110.7,114.0,-3.21,N,Y
