,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Washington Bullets,54,28,.659,114.9,109.9,4.75,Y,N
1,Philadelphia 76ers,47,35,.573,109.5,107.7,1.74,Y,N
2,New Jersey Nets,37,45,.451,107.7,111.9,-4.00,Y,Y
3,New York Knicks,31,51,.378,107.7,111.1,-3.29,N,Y
4,Boston Celtics,29,53,.354,108.2,113.3,-4.78,N,Y
5,San Antonio Spurs,48,34,.585,119.3,114.1,4.97,Y,N
6,Houston Rockets,47,35,.573,113.4,112.4,0.92,Y,N
7,Atlanta Hawks,46,36,.561,109.1,107.1,1.92,Y,N
8,Detroit Pistons,30,52,.366,110.0,112.7,-2.60,N,Y
9,Cleveland Cavaliers,30,52,.366,106.5,110.2,-3.57,N,Y
10,New Orleans Jazz,26,56,.317,108.3,114.6,-5.97,N,Y
11,Kansas City Kings,48,34,.585,113.1,110.2,2.73,Y,N
12,Denver Nuggets,47,35,.573,110.7,109.5,1.24,Y,N
13,Milwaukee Bucks,38,44,.463,114.1,111.8,2.12,N,Y
14,Indiana Pacers,38,44,.463,108.6,110.2,-1.41,N,Y
15,Chicago Bulls,31,51,.378,104.7,108.7,-3.78,N,Y
16,Seattle SuperSonics,52,30,.634,106.6,103.9,2.69,Y,N
17,Phoenix Suns,50,32,.610,115.4,111.7,3.55,Y,N
18,Los Angeles Lakers,47,35,.573,112.9,109.9,2.95,Y,N
19,Portland Trail Blazers,45,37,.549,108.4,107.1,1.12,Y,N
20,San Diego Clippers,43,39,.524,113.1,114.9,-1.76,N,N
21,Golden State Warriors,38,44,.463,105.1,104.8,0.46,N,Y
