,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,61,21,.744,113.5,105.7,7.37,Y,N
1,Philadelphia 76ers,59,23,.720,109.1,104.9,4.04,Y,N
2,Washington Bullets,39,43,.476,107.0,109.5,-2.27,Y,Y
3,New York Knicks,39,43,.476,114.0,115.1,-0.96,N,Y
4,New Jersey Nets,34,48,.415,108.3,109.5,-0.98,N,Y
5,Atlanta Hawks,50,32,.610,104.5,101.6,2.83,Y,N
6,Houston Rockets,41,41,.500,110.8,110.6,0.27,Y,N
7,San Antonio Spurs,41,41,.500,119.4,119.7,-0.24,Y,N
8,Indiana Pacers,37,45,.451,111.2,111.9,-0.54,N,Y
9,Cleveland Cavaliers,37,45,.451,114.1,113.8,0.43,N,Y
10,Detroit Pistons,16,66,.195,108.9,117.2,-7.57,N,Y
11,Milwaukee Bucks,49,33,.598,110.1,106.1,3.57,Y,N
12,Kansas City Kings,47,35,.573,108.0,104.9,2.82,Y,N
13,Denver Nuggets,30,52,.366,108.3,112.7,-4.22,N,Y
14,Chicago Bulls,30,52,.366,107.5,110.2,-2.63,N,Y
15,Utah Jazz,24,58,.293,102.4,108.4,-5.71,N,Y
16,Los Angeles Lakers,60,22,.732,115.1,109.2,5.40,Y,N
17,Seattle SuperSonics,56,26,.683,108.5,103.8,4.24,Y,N
18,Phoenix Suns,55,27,.671,111.1,107.5,3.25,Y,N
19,Portland Trail Blazers,38,44,.463,102.5,103.3,-0.87,Y,Y
20,San Diego Clippers,35,47,.427,107.6,111.7,-3.97,N,Y
21,Golden State Warriors,24,58,.293,103.6,108.0,-4.20,N,Y
