,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,63,19,.768,114.8,108.1,6.47,Y,N
1,Philadelphia 76ers,58,24,.707,112.9,108.8,4.17,Y,N
2,New Jersey Nets,42,40,.512,109.5,109.2,0.64,Y,N
3,Washington Bullets,40,42,.488,105.5,105.8,0.15,Y,Y
4,New York Knicks,24,58,.293,105.2,109.8,-4.09,N,Y
5,Milwaukee Bucks,59,23,.720,110.9,104.0,6.69,Y,N
6,Detroit Pistons,46,36,.561,116.0,113.5,2.73,Y,N
7,Chicago Bulls,38,44,.463,108.7,109.6,-0.50,Y,Y
8,Cleveland Cavaliers,36,46,.439,108.6,111.3,-2.27,Y,Y
9,Atlanta Hawks,34,48,.415,106.6,108.1,-1.14,N,Y
10,Indiana Pacers,22,60,.268,108.3,114.5,-5.46,N,Y
11,Denver Nuggets,52,30,.634,120.0,117.6,2.05,Y,N
12,Houston Rockets,48,34,.585,111.2,109.5,1.38,Y,N
13,Dallas Mavericks,44,38,.537,111.2,109.0,1.80,Y,N
14,Utah Jazz,41,41,.500,109.0,109.1,-0.33,Y,N
15,San Antonio Spurs,41,41,.500,114.8,113.9,0.63,Y,N
16,Kansas City Kings,31,51,.378,114.8,117.5,-2.71,N,Y
17,Los Angeles Lakers,62,20,.756,118.2,110.9,6.48,Y,N
18,Portland Trail Blazers,42,40,.512,115.5,112.1,2.80,Y,N
19,Phoenix Suns,36,46,.439,108.0,110.1,-2.34,Y,Y
20,Seattle SuperSonics,31,51,.378,102.1,107.6,-5.44,N,Y
21,Los Angeles Clippers,31,51,.378,107.1,111.6,-4.55,N,Y
22,Golden State Warriors,22,60,.268,110.4,117.7,-7.21,N,Y
