,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,New Jersey Nets,47,35,.573,90.3,87.8,1.88,Y,N
1,Miami Heat,42,40,.512,90.3,89.7,-0.13,Y,N
2,New York Knicks,39,43,.476,92.0,93.5,-1.97,Y,Y
3,Boston Celtics,36,46,.439,95.3,96.7,-1.99,Y,Y
4,Philadelphia 76ers,33,49,.402,88.0,90.5,-2.95,N,Y
5,Washington Wizards,25,57,.305,91.8,97.4,-6.12,N,Y
6,Orlando Magic,21,61,.256,94.0,101.1,-7.25,N,Y
7,Indiana Pacers,61,21,.744,91.4,85.6,4.93,Y,N
8,Detroit Pistons,54,28,.659,90.1,84.3,5.04,Y,N
9,New Orleans Hornets,41,41,.500,91.8,91.9,-0.72,Y,N
10,Milwaukee Bucks,41,41,.500,98.0,97.0,0.42,Y,N
11,Cleveland Cavaliers,35,47,.427,92.9,95.5,-3.07,N,Y
12,Toronto Raptors,33,49,.402,85.4,88.5,-3.42,N,Y
13,Atlanta Hawks,28,54,.341,92.8,97.5,-5.00,N,Y
14,Chicago Bulls,23,59,.280,89.7,96.0,-6.69,N,Y
15,Minnesota Timberwolves,58,24,.707,94.5,89.1,5.86,Y,N
16,San Antonio Spurs,57,25,.695,91.5,84.3,7.51,Y,N
17,Dallas Mavericks,52,30,.634,105.2,100.8,4.86,Y,N
18,Memphis Grizzlies,50,32,.610,96.7,94.3,2.95,Y,N
19,Houston Rockets,45,37,.549,89.8,88.0,2.28,Y,N
20,Denver Nuggets,43,39,.524,97.2,96.1,1.65,Y,N
21,Utah Jazz,42,40,.512,88.7,89.9,-0.53,N,N
22,Los Angeles Lakers,56,26,.683,98.2,94.3,4.35,Y,N
23,Sacramento Kings,55,27,.671,102.8,97.8,5.41,Y,N
24,Portland Trail Blazers,41,41,.500,90.7,92.0,-0.58,N,N
25,Golden State Warriors,37,45,.451,93.3,94.0,-0.07,N,Y
26,Seattle SuperSonics,37,45,.451,97.1,97.8,0.02,N,Y
27,Phoenix Suns,29,53,.354,94.2,97.9,-2.94,N,Y
28,Los Angeles Clippers,28,54,.341,94.8,99.4,-3.74,N,Y
