,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,45,37,.549,101.3,100.4,0.35,Y,N
1,Philadelphia 76ers,43,39,.524,99.1,99.9,-1.07,Y,N
2,New Jersey Nets,42,40,.512,91.4,92.9,-1.82,Y,N
3,Toronto Raptors,33,49,.402,99.7,101.4,-1.81,N,Y
4,New York Knicks,33,49,.402,97.3,99.7,-2.72,N,Y
5,Detroit Pistons,54,28,.659,93.3,89.5,3.31,Y,N
6,Chicago Bulls,47,35,.573,94.5,93.4,0.65,Y,N
7,Indiana Pacers,44,38,.537,93.0,92.2,0.49,Y,N
8,Cleveland Cavaliers,42,40,.512,96.5,95.7,0.27,N,N
9,Milwaukee Bucks,30,52,.366,97.2,100.2,-3.09,N,Y
10,Miami Heat,59,23,.720,101.5,95.0,5.77,Y,N
11,Washington Wizards,45,37,.549,100.5,100.8,-0.71,Y,N
12,Orlando Magic,36,46,.439,99.5,101.8,-2.52,N,Y
13,Charlotte Bobcats,18,64,.220,94.3,100.2,-6.15,N,Y
14,Atlanta Hawks,13,69,.159,92.7,102.5,-9.62,N,Y
15,Seattle SuperSonics,52,30,.634,98.9,96.6,2.59,Y,N
16,Denver Nuggets,49,33,.598,99.5,97.5,2.23,Y,N
17,Minnesota Timberwolves,44,38,.537,96.8,95.3,1.73,N,N
18,Portland Trail Blazers,27,55,.329,92.9,96.9,-3.45,N,Y
19,Utah Jazz,26,56,.317,93.0,97.3,-3.74,N,Y
20,Phoenix Suns,62,20,.756,110.4,103.3,7.08,Y,N
21,Sacramento Kings,50,32,.610,103.7,101.6,2.56,Y,N
22,Los Angeles Clippers,37,45,.451,95.7,96.5,-0.47,N,Y
23,Los Angeles Lakers,34,48,.415,98.7,101.7,-2.32,N,Y
24,Golden State Warriors,34,48,.415,98.7,100.9,-1.74,N,Y
25,San Antonio Spurs,59,23,.720,96.2,88.4,7.84,Y,N
26,Dallas Mavericks,58,24,.707,102.5,96.8,5.86,Y,N
27,Houston Rockets,51,31,.622,95.1,91.0,4.27,Y,N
28,Memphis Grizzlies,45,37,.549,93.4,91.1,2.64,Y,N
29,New Orleans Hornets,18,64,.220,88.4,95.5,-6.30,N,Y
