,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Miami Heat,61,21,.744,94.8,89.3,5.56,Y,N
1,New York Knicks,57,25,.695,95.4,92.2,3.31,Y,N
2,Orlando Magic,45,37,.549,94.1,94.5,-0.07,Y,N
3,Washington Bullets,44,38,.537,99.4,97.7,1.77,Y,N
4,New Jersey Nets,26,56,.317,97.2,101.8,-3.89,N,Y
5,Philadelphia 76ers,22,60,.268,100.2,106.7,-5.89,N,Y
6,Boston Celtics,15,67,.183,100.6,107.9,-6.62,N,Y
7,Chicago Bulls,69,13,.841,103.1,92.3,10.70,Y,N
8,Atlanta Hawks,56,26,.683,94.8,89.4,5.52,Y,N
9,Detroit Pistons,54,28,.659,94.2,88.9,5.45,Y,N
10,Charlotte Hornets,54,28,.659,98.9,97.0,2.13,Y,N
11,Cleveland Cavaliers,42,40,.512,87.5,85.6,2.32,N,N
12,Indiana Pacers,39,43,.476,95.4,94.4,1.49,N,Y
13,Milwaukee Bucks,33,49,.402,95.3,97.2,-1.38,N,Y
14,Toronto Raptors,30,52,.366,95.5,98.6,-2.56,N,Y
15,Utah Jazz,64,18,.780,103.1,94.3,7.97,Y,N
16,Houston Rockets,57,25,.695,100.6,96.1,3.85,Y,N
17,Minnesota Timberwolves,40,42,.488,96.1,97.6,-1.82,Y,Y
18,Dallas Mavericks,24,58,.293,90.6,97.0,-6.47,N,Y
19,Denver Nuggets,21,61,.256,97.8,104.1,-6.40,N,Y
20,San Antonio Spurs,20,62,.244,90.5,98.3,-7.93,N,Y
21,Vancouver Grizzlies,14,68,.171,89.2,99.4,-10.17,N,Y
22,Seattle SuperSonics,57,25,.695,100.9,93.2,6.91,Y,N
23,Los Angeles Lakers,56,26,.683,100.0,95.7,3.66,Y,N
24,Portland Trail Blazers,49,33,.598,99.0,94.8,3.56,Y,N
25,Phoenix Suns,40,42,.488,102.8,102.2,0.21,Y,Y
26,Los Angeles Clippers,36,46,.439,97.2,99.5,-2.66,Y,Y
27,Sacramento Kings,34,48,.415,96.4,99.8,-3.64,N,Y
28,Golden State Warriors,30,52,.366,99.6,104.4,-4.90,N,Y
