,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,66,16,.805,100.5,90.3,9.30,Y,N
1,Toronto Raptors,41,41,.500,100.2,97.3,2.47,Y,N
2,Philadelphia 76ers,40,42,.488,96.6,96.2,0.19,Y,Y
3,New Jersey Nets,34,48,.415,95.8,100.9,-5.15,N,Y
4,New York Knicks,23,59,.280,96.9,103.5,-6.55,N,Y
5,Detroit Pistons,59,23,.720,97.5,90.1,6.67,Y,N
6,Cleveland Cavaliers,45,37,.549,96.4,96.7,-0.53,Y,N
7,Indiana Pacers,36,46,.439,104.0,105.4,-1.87,N,Y
8,Chicago Bulls,33,49,.402,97.3,100.4,-3.19,N,Y
9,Milwaukee Bucks,26,56,.317,97.0,103.9,-6.92,N,Y
10,Orlando Magic,52,30,.634,104.5,99.0,4.79,Y,N
11,Washington Wizards,43,39,.524,98.8,99.2,-0.61,Y,N
12,Atlanta Hawks,37,45,.451,98.2,100.0,-2.23,Y,Y
13,Charlotte Bobcats,32,50,.390,97.1,101.4,-4.49,N,Y
14,Miami Heat,15,67,.183,91.4,100.0,-8.53,N,Y
15,Utah Jazz,54,28,.659,106.2,99.3,6.86,Y,N
16,Denver Nuggets,50,32,.610,110.7,107.0,3.74,Y,N
17,Portland Trail Blazers,41,41,.500,95.4,96.3,-0.52,N,N
18,Minnesota Timberwolves,22,60,.268,95.6,102.4,-6.26,N,Y
19,Seattle SuperSonics,20,62,.244,97.5,106.3,-8.04,N,Y
20,Los Angeles Lakers,57,25,.695,108.6,101.3,7.34,Y,N
21,Phoenix Suns,55,27,.671,110.1,105.0,5.14,Y,N
22,Golden State Warriors,48,34,.585,111.0,108.8,2.38,N,N
23,Sacramento Kings,38,44,.463,102.5,104.8,-1.86,N,Y
24,Los Angeles Clippers,23,59,.280,93.8,101.1,-6.56,N,Y
25,New Orleans Hornets,56,26,.683,100.9,95.6,5.46,Y,N
26,San Antonio Spurs,56,26,.683,95.4,90.6,5.10,Y,N
27,Houston Rockets,55,27,.671,96.7,92.0,4.83,Y,N
28,Dallas Mavericks,51,31,.622,100.4,95.9,4.70,Y,N
29,Memphis Grizzlies,22,60,.268,100.7,106.9,-5.76,N,Y
