,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,56,26,.683,111.5,105.7,5.22,Y,N
1,Philadelphia 76ers,44,38,.537,105.4,105.6,-0.39,Y,N
2,New York Knicks,39,43,.476,103.1,103.3,-0.43,Y,Y
3,Washington Bullets,30,52,.366,101.4,106.4,-4.84,N,Y
4,New Jersey Nets,26,56,.317,102.9,107.5,-4.53,N,Y
5,Miami Heat,24,58,.293,101.8,107.8,-5.91,N,Y
6,Chicago Bulls,61,21,.744,110.0,101.0,8.57,Y,N
7,Detroit Pistons,50,32,.610,100.1,96.8,3.08,Y,N
8,Milwaukee Bucks,48,34,.585,106.4,104.0,2.33,Y,N
9,Atlanta Hawks,43,39,.524,109.8,109.0,0.72,Y,N
10,Indiana Pacers,41,41,.500,111.7,112.1,-0.37,Y,N
11,Cleveland Cavaliers,33,49,.402,101.7,104.2,-2.33,N,Y
12,Charlotte Hornets,26,56,.317,102.8,108.0,-4.95,N,Y
13,San Antonio Spurs,55,27,.671,107.1,102.6,4.30,Y,N
14,Utah Jazz,54,28,.659,104.0,100.7,3.18,Y,N
15,Houston Rockets,52,30,.634,106.7,103.2,3.27,Y,N
16,Orlando Magic,31,51,.378,105.9,109.9,-3.79,N,Y
17,Minnesota Timberwolves,29,53,.354,99.6,103.5,-3.75,N,Y
18,Dallas Mavericks,28,54,.341,99.9,104.5,-4.27,N,Y
19,Denver Nuggets,20,62,.244,119.9,130.8,-10.31,N,Y
20,Portland Trail Blazers,63,19,.768,114.7,106.0,8.47,Y,N
21,Los Angeles Lakers,58,24,.707,106.3,99.6,6.73,Y,N
22,Phoenix Suns,55,27,.671,114.0,107.5,6.49,Y,N
23,Golden State Warriors,44,38,.537,116.6,115.0,1.72,Y,N
24,Seattle SuperSonics,41,41,.500,106.6,105.4,1.31,Y,N
25,Los Angeles Clippers,31,51,.378,103.5,107.0,-3.16,N,Y
26,Sacramento Kings,25,57,.305,96.7,103.5,-6.27,N,Y
