,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Toronto Raptors,47,35,.573,99.5,98.5,0.61,Y,N
1,New Jersey Nets,41,41,.500,97.6,98.3,-1.00,Y,N
2,Philadelphia 76ers,35,47,.427,94.9,98.0,-3.26,N,Y
3,New York Knicks,33,49,.402,97.5,100.3,-3.06,N,Y
4,Boston Celtics,24,58,.293,95.8,99.2,-3.70,N,Y
5,Detroit Pistons,53,29,.646,96.0,91.8,3.69,Y,N
6,Cleveland Cavaliers,50,32,.610,96.8,92.9,3.33,Y,N
7,Chicago Bulls,49,33,.598,98.8,93.8,4.52,Y,N
8,Indiana Pacers,35,47,.427,95.6,98.0,-2.62,N,Y
9,Milwaukee Bucks,28,54,.341,99.7,104.0,-4.43,N,Y
10,Miami Heat,44,38,.537,94.6,95.5,-1.21,Y,N
11,Washington Wizards,41,41,.500,104.3,104.9,-0.80,Y,N
12,Orlando Magic,40,42,.488,94.8,94.0,0.35,Y,Y
13,Charlotte Bobcats,33,49,.402,96.9,100.6,-3.97,N,Y
14,Atlanta Hawks,30,52,.366,93.7,98.4,-4.86,N,Y
15,Utah Jazz,51,31,.622,101.5,98.6,3.06,Y,N
16,Denver Nuggets,45,37,.549,105.4,103.7,1.69,Y,N
17,Portland Trail Blazers,32,50,.390,94.1,98.4,-3.78,N,Y
18,Minnesota Timberwolves,32,50,.390,96.1,99.7,-3.16,N,Y
19,Seattle SuperSonics,31,51,.378,99.1,102.0,-2.45,N,Y
20,Phoenix Suns,61,21,.744,110.2,102.9,7.28,Y,N
21,Los Angeles Lakers,42,40,.512,103.3,103.4,0.24,Y,N
22,Golden State Warriors,42,40,.512,106.5,106.9,0.00,Y,N
23,Los Angeles Clippers,40,42,.488,95.6,96.1,-0.07,N,Y
24,Sacramento Kings,33,49,.402,101.3,103.1,-1.35,N,Y
25,Dallas Mavericks,67,15,.817,100.0,92.8,7.28,Y,N
26,San Antonio Spurs,58,24,.707,98.5,90.1,8.35,Y,N
27,Houston Rockets,52,30,.634,97.0,92.1,5.04,Y,N
28,New Orleans/Oklahoma City Hornets,39,43,.476,95.5,97.1,-1.19,N,Y
29,Memphis Grizzlies,22,60,.268,101.6,106.7,-4.44,N,Y
