,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,New York Knicks,54,28,.659,100.0,95.7,3.73,Y,N
1,Brooklyn Nets,49,33,.598,96.9,95.1,1.25,Y,N
2,Boston Celtics,41,40,.506,96.5,96.7,-0.62,Y,N
3,Philadelphia 76ers,34,48,.415,93.2,96.5,-3.51,N,Y
4,Toronto Raptors,34,48,.415,97.2,98.7,-1.96,N,Y
5,Indiana Pacers,49,32,.605,94.7,90.7,3.34,Y,N
6,Chicago Bulls,45,37,.549,93.2,92.9,-0.02,Y,N
7,Milwaukee Bucks,38,44,.463,98.9,100.4,-1.83,Y,Y
8,Detroit Pistons,29,53,.354,94.9,98.8,-4.33,N,Y
9,Cleveland Cavaliers,24,58,.293,96.5,101.2,-4.87,N,Y
10,Miami Heat,66,16,.805,102.9,95.0,7.03,Y,N
11,Atlanta Hawks,44,38,.537,98.0,97.5,-0.08,Y,N
12,Washington Wizards,29,53,.354,93.2,95.8,-2.78,N,Y
13,Charlotte Bobcats,21,61,.256,93.4,102.7,-9.29,N,Y
14,Orlando Magic,20,62,.244,94.1,101.1,-7.12,N,Y
15,Oklahoma City Thunder,60,22,.732,105.7,96.5,9.15,Y,N
16,Denver Nuggets,57,25,.695,106.1,101.1,5.37,Y,N
17,Utah Jazz,43,39,.524,98.0,98.1,0.30,N,N
18,Portland Trail Blazers,33,49,.402,97.5,100.7,-2.53,N,Y
19,Minnesota Timberwolves,31,51,.378,95.7,98.1,-1.83,N,Y
20,Los Angeles Clippers,56,26,.683,101.1,94.6,6.43,Y,N
21,Golden State Warriors,47,35,.573,101.2,100.3,1.32,Y,N
22,Los Angeles Lakers,45,37,.549,102.2,101.0,1.48,Y,N
23,Sacramento Kings,28,54,.341,100.2,105.1,-4.26,N,Y
24,Phoenix Suns,25,57,.305,95.2,101.6,-5.75,N,Y
25,San Antonio Spurs,58,24,.707,103.0,96.6,6.67,Y,N
26,Memphis Grizzlies,56,26,.683,93.4,89.3,4.32,Y,N
27,Houston Rockets,45,37,.549,106.0,102.5,3.69,Y,N
28,Dallas Mavericks,41,41,.500,101.1,101.7,-0.24,N,N
29,New Orleans Hornets,27,55,.329,94.1,97.9,-3.12,N,Y
